applicant_id,full_name,date_of_birth,gate_score,specialization_desc_1,specialization_desc_2,specialization_desc_3,specialization_desc_4,specialization_desc_5,category
1,a,22-05-2000,10,CSE,EE,AI,,,GEN
2,b,21-04-2000,12,EE,MSME,CSE,,,OBC
3,c,12-07-2000,31,CSE,EE,CE,CH,,ST
4,d,01-02-2001,15,EE,CSE,,,,OBC
5,e,07-08-2000,9,AI,,,,,GEN
6,f,02-11-2000,3,MSME,ES,IC,,,GEN
7,g,13-12-2000,4,CH,CE,IC,,,SC
8,h,27-04-2000,23,CSE,AI,MnC,,,GEN
9,i,22-02-2001,13,AI,CH,CE,MSME,BM,SC
10,j,11-06-2000,11,EE,AI,MnC,BM,IC,OBC
